,Unnamed: 0,BETROFFENE_ANLAGE,Value,Latitude,Longitude
58,58,50H Halle-Dieselstr HKW-BlockB,Halle,51.48096,11.96427
59,59,50H EnviaTherm Bitterfeld GuD,Bitterfeld,51.633861,12.299357
60,60,Reservekraftwerk Walheim Block 2,Walheim,49.017472,9.157389
61,61,50H Neubrandenburg GuD,GuD,51.22138,6.731310000000001
62,62,50H Hamburg Wedel1,Wedel,53.56695702,9.724445343
63,63,50H Hamburg Tiefstack GuD,Tiefstack,53.52616631,10.06317616
64,64,50H Halle-Dieselstr HKW-BlockA,Halle,51.48096,11.96427
65,65,HKW BARMEN 1,HKW,51.512175,13.97109
66,66,"Heizkraftwerk Stuttgart-Münster GT 16,17,18",Heizkraftwerk,50.09178,8.53105
67,67,Irsching 6 (bnBm),Irsching,48.76702,11.580033
68,68,AVA Cluster Hannover West,Hannover,52.42,9.648611
69,69,Grosskraftwerk Mannheim Block 8,Mannheim,49.51644467,8.460246482
70,70,Gebersdorf GT,GT,51.22116,6.73193
71,71,Zolling GT 2,Zolling,48.45534,11.8019
72,72,ReserveKW Staudinger 4,Staudinger,50.088553000000005,8.953399000000001
73,73,SW München KW-Pool,München,48.188278,11.594954
74,74,Rheinhafen-Dampfkraftwerk Karlsruhe Block 8,Rheinhafen-Dampfkraftwerk,49.0125,8.302778
75,75,50H Rostock Marienehe,Rostock,54.14282177,12.13287489
76,76,Zolling GT 1,Zolling,48.45534,11.8019
77,77,50H Stralsund BHKW+PtH,HKW,51.512175,13.97109
78,78,DORMAGEN_GT2,GT,51.22116,6.73193
79,79,Reservekraftwerk Rheinhafen-Dampfkraftwerk Karlsruhe Block 7,Rheinhafen-Dampfkraftwerk,49.0125,8.302778
80,80,ReserveKW Ingolstadt 3,Ingolstadt,48.750316999999995,11.412153
81,81,Thyrow A (KapRes),Thyrow,52.23015,13.30195
82,82,50H Hamburg MMB BHKW PtH,BHKW,49.047474,8.281602000000001
83,83,Thyrow E (KapRes),Thyrow,52.23015,13.30195
84,84,Pumpspeicherwerk Wehr RZ TNG,Wehr,47.64529898,7.91819945
85,85,Linden GKL GT 1,GT,51.22116,6.73193
86,86,Würzburg GT 2,GT,51.22116,6.73193
87,87,Linden GKL DT,GKL,52.372917,9.714194
88,88,AVA Cluster Helmstedt,Helmstedt,52.17237156,10.97682873
89,89,Hannover (GKH) 1,GKH,52.42,9.648611
90,90,Linden GKL GT 3,GT,51.22116,6.73193
91,91,Braunschweig HKWM GT31,KWM,52.3150224,10.09141738
92,92,Kühtai 1 (TIWAG),Kühtai,47.207784,11.005735
93,93,Hannover (GKH) 2,GKH,52.42,9.648611
94,94,SHN Cluster Audorf Süd,Audorf,54.290672,9.722775
95,95,Markersbach (Standort),Markersbach,50.51938,12.87976
96,96,Bremen BHKW,HKW,51.512175,13.97109
97,97,Würzburg GT 1,GT,51.22116,6.73193
98,98,GuDAnlageM120,GuD,51.22138,6.731310000000001
99,99,Silz 2 (Uniper),Silz,47.269606,10.967829
100,100,50H Halle-Dieselstr HKW-BlockC,Halle,51.48096,11.96427
101,101,Thyrow D (KapRes),Thyrow,52.23015,13.30195
102,102,Thyrow B (KapRes),Thyrow,52.23015,13.30195
103,103,INFRA_HOE_GTX3,GT,51.22116,6.73193
104,104,50H Leipzig Nord GuD,GuD,51.22138,6.731310000000001
105,105,Reservekraftwerk Heilbronn Block 5,Heilbronn,49.177334,9.206318
106,106,Ahrensfelde A (KapRes),Ahrensfelde,52.58950001,13.5586524
107,107,Ahrensfelde B (KapRes),Ahrensfelde,52.58950001,13.5586524
108,108,Ahrensfelde C (KapRes),Ahrensfelde,52.58950001,13.5586524
